order,score,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24
"['Mar', 'Feb', 'Jan', 'Apr']",25.9244617196284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.678613264805136,61.678613264805136,61.678613264805136,61.678613264805136,61.678613264805136
"['Jan', 'Apr', 'Mar', 'Feb']",25.556248650707055,0.0,0.0,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614,28.430699836109614
"['Apr', 'Feb', 'Mar', 'Jan']",23.4415839314803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828,43.67537316707828
"['Apr', 'Mar', 'Jan', 'Feb']",22.401468536791544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Mar', 'Feb', 'Apr', 'Jan']",20.588403976293932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224,20.47797906035224
"['Feb', 'Apr', 'Mar', 'Jan']",20.47797906035224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803,23.4415839314803
"['Mar', 'Jan', 'Feb', 'Apr']",19.744984884037965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.144138629561827,26.144138629561827,26.144138629561827,26.144138629561827,26.144138629561827,26.144138629561827,26.144138629561827
"['Feb', 'Mar', 'Jan', 'Apr']",12.374767010466867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9244617196284,25.9244617196284,25.9244617196284,25.9244617196284
"['Feb', 'Mar', 'Apr', 'Jan']",7.882153983254674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932,20.588403976293932
"['Mar', 'Jan', 'Apr', 'Feb']",5.26427415847424,0.0,0.0,0.0,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055,25.556248650707055
"['Feb', 'Apr', 'Jan', 'Mar']",3.1097102537848325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31248387461518,26.31248387461518,26.31248387461518,26.31248387461518,26.31248387461518,26.31248387461518,26.31248387461518,26.31248387461518,26.31248387461518,26.31248387461518
"['Mar', 'Apr', 'Jan', 'Feb']",2.3259812156393083,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544,22.401468536791544
